table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
FH,FHUbProcessedReceiptRunlogs,FHUbARReceiptDataKey,FH,FHUbARReceiptDatas,FHUbARReceiptDataKey
FH,FHUbProcessedReceiptRunlogs,FHUbARReceiptPaymentRecordDataKey,FH,FHUbARReceiptPaymentRecordDatas,FHUbARReceiptPaymentRecordDataKey
FH,FHUbProcessedReceiptRunlogs,FHUbProcessedReceiptRunDataKey,FH,FHUbProcessedReceiptRunDatas,FHUbProcessedReceiptRunDataKey
FH,FHVendorAttachmentFileDatas,FHVendorSetupDataKey,FH,FHVendorSetupDatas,FHVendorSetupDataKey
FH,FHVendorGLDistributionDatas,FHGLAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHVendorGLDistributionDatas,FHVendorSetupDataKey,FH,FHVendorSetupDatas,FHVendorSetupDataKey
FH,FHVendorPaymentAmountDatas,FHVendorSetupDataKey,FH,FHVendorSetupDatas,FHVendorSetupDataKey
FH,FHVoucherPrintTemplates,PrintPaperFontCode,FH,FHFonts,Code
FH,FHYearEndDistributionDatas,FHFundAccountBreakDataKey,FH,FHFundAccountBreakDatas,FHFundAccountBreakDataKey
FH,FHYearEndDistributionDatas,FundBalanceGlAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHYearEndDistributionDatas,ProfitHandlerGlAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHYearEndRollDatas,FHJournaDataKey,FH,FHGLJournalDatas,FHGLJournalDataKey
FH,ReportRelatedAccountBreakAccountLineMappings,FHAccountLineBreakDataKey,FH,FHAccountLineBreakDatas,FHAccountLineBreakDataKey
FH,ReportRelatedAccountBreakAccountLineMappings,ReportRelatedAccountBreakKey,FH,ReportRelatedAccountBreaks,ReportRelatedAccountBreakKey
FH,ReportRelatedAccountBreaks,FHReportRelatedAccountBreakConfigurationKey,FH,FHReportRelatedAccountBreakConfigurations,FHReportRelatedAccountBreakConfigurationKey
