table_schema,table_name,constraint_name,column_name
FH,FHGLAccountDatas,PK_FHGLAccountDatas,FHGLAccountDataKey
FH,FHGLBankCashLineDatas,PK_FHGLBankCashLineDatas,FHGLBankCashLineDataKey
FH,FHGLBankTransferDatas,PK_FHGLBankTransferDatas,FHGLBankTransferDataKey
FH,FHGLBudgetAmendLogs,PK_FHGLBudgetAmendLogs,FFHGLBudgetAmendLogKey
FH,FHGLBudgetDatas,PK_FHGLBudgetDatas,FHGLBudgetDataKey
FH,FHGLEntryDatas,PK_FHGLEntryDatas,FHGLEntryDataKey
FH,FHGLEntryRecurringDatas,PK_FHGLEntryRecurringDatas,FHGLEntryRecurringDataKey
FH,FHGLEntryTemplateDatas,PK_FHGLEntryTemplateDatas,FHGLEntryTemplateDataKey
FH,FHGLJournalDatas,PK_FHGLJournalDatas,FHGLJournalDataKey
FH,FHGLJournalRecurringDatas,PK_FHGLJournalRecurringDatas,FHGLJournalRecurringDataKey
FH,FHGLJournalRecurringSchedules,PK_FHGLJournalRecurringSchedules,FHGLEntryRecurringScheduleKey
FH,FHGLJournalTemplateDatas,PK_FHGLJournalTemplateDatas,FHGLJournalTemplateDataKey
FH,FHGLJournalTemplates,PK_FHGLJournalTemplates,FHGLJournalTemplateKey
FH,FHGLParameterSettings,PK_FHGLParameterSettings,FHGLParameterSettingsKey
FH,FHGLParameterSettingsInformation,PK_FHGLParameterSettingsInformation,FHGLParameterSettingsInformationKey
FH,FHGLRevenueCodeDatas,PK_FHGLRevenueCodeDatas,FHGLRevenueCodeDataKey
FH,FHGLTransferLineDatas,PK_FHGLTransferLineDatas,FHGLTransferLineDataKey
FH,FHGeneralLogs,PK_FHGeneralLogs,FHGeneralLogKey
FH,FHGlARFrontDeskPaymentDatas,PK_FHGlARFrontDeskPaymentDatas,FHGlARFrontDeskPaymentDataKey
FH,FHIVRPaymentDatas,PK_FHIVRPaymentDatas,FHIVRPaymentDataKey
FH,FHIVRPaymentUploadFileDatas,PK_FHIVRPaymentUploadFileDatas,FHIVRPaymentUploadFileDataKey
FH,FHPageSizes,PK_FHPageSizes,Code
FH,FHPayrollCompletionTimeLogs,PK_FHPayrollCompletionTimeLogs,FHPayrollCompletionTimeLogKey
FH,FHPrintFormatKeywords,PK_FHPrintFormatKeywords,FHPrintFormatKeywordKey
FH,FHPrintOrientations,PK_FHPrintOrientations,Code
FH,FHProcessedReceiptRunDatas,PK_FHProcessedReceiptRunDatas,FHProcessedReceiptRunDataKey
FH,FHProjectDatas,PK_FHProjectDatas,FHProjectDataKey
FH,FHReceiptRunBankTransactionMappingDatas,PK_FHReceiptRunBankTransactionMappingDatas,FHReceiptRunBankTransactionMappingDataKey
FH,FHReceiptRunJournalMappingDatas,PK_FHReceiptRunJournalMappingDatas,FHReceiptRunJournalMappingDataKey
FH,FHReportConfigs,PK_FHReportConfigs,Id
FH,FHReportDataSources,PK_FHReportDataSources,Id
FH,FHReportFilterDatas,PK_FHReportFilterDatas,FHReportFilterDataKey
FH,FHReportRelatedAccountBreakConfigurations,PK_FHReportRelatedAccountBreakConfigurations,FHReportRelatedAccountBreakConfigurationKey
FH,FHRevenueGLDistributionDatas,PK_FHRevenueGLDistributionDatas,FHRevenueGLDistributionDataKey
FH,FHRevenueReceiptBatchDatas,PK_FHRevenueReceiptBatchDatas,FHRevenueReceiptBatchDataKey
FH,FHRevenueReceiptDatas,PK_FHRevenueReceiptDatas,FHRevenueReceiptDataKey
FH,FHRevenueReceiptGLDistributionDatas,PK_FHRevenueReceiptGLDistributionDatas,FHRevenueReceiptGLDistributionDataKey
FH,FHRevenueReceiptPaymentRecordDatas,PK_FHRevenueReceiptPaymentRecordDatas,FHRevenueReceiptPaymentRecordDataKey
FH,FHRevenueRecordDatas,PK_FHRevenueRecordDatas,FHRevenueRecordDataKey
FH,FHStateDatas,PK_FHStateDatas,Code
FH,FHTaxForm1096ContactPersonData,PK_FHTaxForm1096ContactPersonData,FHTaxForm1096ContactPersonDataKey
